prompt,model,resolved,total,tokens_m,tool_calls
default,GLM-5.2,29,48,1.3,11
default,K2.7,40,48,3.8,50
default,K2.6,33,48,2.2,33
default,DeepSeek-V4-Pro,21,48,1.5,15
sharp,GLM-5.2,32,48,1.5,14
sharp,K2.7,42,48,2.7,43
sharp,K2.6,27,48,2.4,41
sharp,DeepSeek-V4-Pro,25,48,1.6,19
cursor,GLM-5.2,40,48,1.4,15
cursor,K2.7,35,48,3.3,44
cursor,K2.6,34,48,2.4,36
cursor,DeepSeek-V4-Pro,22,48,1.7,19
cursor,Opus-4.8-xhigh,40,48,1.6,18
kc-auto,GLM-5.2,38,48,1.5,21
kc-auto,K2.7,34,48,3.0,43
kc-auto,K2.6,34,48,2.2,41
kc-auto,DeepSeek-V4-Pro,26,48,1.8,28
kc-bal,GLM-5.2,30,48,1.4,17
kc-bal,K2.7,33,48,3.2,44
kc-bal,K2.6,31,48,2.3,41
kc-bal,DeepSeek-V4-Pro,25,48,2.0,30
claude,GLM-5.2,39,48,1.4,15
claude,K2.7,34,48,2.8,43
claude,K2.6,33,48,2.4,39
claude,DeepSeek-V4-Pro,25,48,1.7,18
claude,Opus-4.8-xhigh,40,48,1.6,22
codex,DeepSeek-V4-Pro,24,48,1.5,19
